date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:46	110/110	---M-Z	200	added ('OK')	text/plain	date:Wed,%2022%20Nov%202023%2009:50:47%20GMT	https://aiovd.com/robots.txt		(from )
15:20:47	246627/246627	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202023%2009:50:47%20GMT	https://aiovd.com/instagram-video-downloader/	D:/Startup%20movies/AIOVD/aiovd.com/instagram-video-downloader/index.html	(from )
15:20:47	2259/2259	---M-Z	200	added ('OK')	text/css	etag:%228d3-6534b8b9-4b84a82816a02448;gz%22	https://aiovd.com/wp-content/plugins/kk-star-ratings/src/core/public/css/kk-star-ratings.min.css?ver=5.4.6	D:/Startup%20movies/AIOVD/aiovd.com/wp-content/plugins/kk-star-ratings/src/core/public/css/kk-star-ratings.min03e2.css	(from https://aiovd.com/instagram-video-downloader/)
15:20:47	2334/2334	---MCZ	200	added ('OK')	text/css	etag:W/%22afc-64cdfc66-c5c77cb6cbc19ec0;gz%22	https://aiovd.com/wp-content/plugins/perfecty-push-notifications/public/css/perfecty-push-public.css?ver=1.6.2	D:/Startup%20movies/AIOVD/aiovd.com/wp-content/plugins/perfecty-push-notifications/public/css/perfecty-push-public1f22.css	(from https://aiovd.com/instagram-video-downloader/)
15:20:47	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-64cdfb09-1a710f30838b8e19;gz%22	https://aiovd.com/wp-includes/css/dashicons.min.css?ver=6.4.1	D:/Startup%20movies/AIOVD/aiovd.com/wp-includes/css/dashicons.minaec2.css	(from https://aiovd.com/instagram-video-downloader/)
15:20:48	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%22d9-6555ffa1-8a9b7957c5795794;;;%22	https://aiovd.com/wp-content/plugins/post-views-counter/css/frontend.min.css?ver=1.4.2	D:/Startup%20movies/AIOVD/aiovd.com/wp-content/plugins/post-views-counter/css/frontend.min1159.css	(from https://aiovd.com/instagram-video-downloader/)
15:20:48	1061/1061	---M-Z	200	added ('OK')	text/css	etag:%22425-64cdfc66-b46ef4139a656c67;gz%22	https://aiovd.com/wp-content/plugins/turn-rank-math-faq-block-to-accordion/assets/css/style.min.css?ver=1.1.0	D:/Startup%20movies/AIOVD/aiovd.com/wp-content/plugins/turn-rank-math-faq-block-to-accordion/assets/css/style.minf488.css	(from https://aiovd.com/instagram-video-downloader/)
15:20:48	321745/321745	---MCZ	200	added ('OK')	text/css	etag:W/%225007e-64cdfc67-408679d20c1cf0a0;gz%22	https://aiovd.com/wp-content/themes/aiodl-default/style.css?ver=1.2.7	D:/Startup%20movies/AIOVD/aiovd.com/wp-content/themes/aiodl-default/style4281.css	(from https://aiovd.com/instagram-video-downloader/)
15:20:48	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-6553cd05-b477a932f09c2a08;gz%22	https://aiovd.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/Startup%20movies/AIOVD/aiovd.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://aiovd.com/instagram-video-downloader/)
15:20:49	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-64d63d3c-86eb02f7e4b072b5;gz%22	https://aiovd.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Startup%20movies/AIOVD/aiovd.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://aiovd.com/instagram-video-downloader/)
15:20:49	4492/4492	---M--	200	added ('OK')	image/png	etag:%22118c-64cdfc67-f70a83a2d57cac55;;;%22	https://aiovd.com/wp-content/uploads/2023/07/Join-telegram.png	D:/Startup%20movies/AIOVD/aiovd.com/wp-content/uploads/2023/07/Join-telegram.png	(from https://aiovd.com/instagram-video-downloader/)
